jobTitle,jobURL,date,neighborhood,description,compensation
Techie Wanted,https://berlin.craigslist.org/sof/d/techie-wanted/7034659662.html?lang=en&cc=gb,1575806100000,(berlin),"
        
To technically assist artist with systems and programs.You must be in Berlin.10 euros per hour.    ",10
Front-End Developer (m/f/x),https://berlin.craigslist.org/sof/d/front-end-developer-f/7030579120.html?lang=en&cc=gb,1575271320000,(berlin),"
        
Interested in taking the next step in your career, being in an early-stage startup and working as one of the first team members on scaling a new venture up?

We are looking for a driven, ambitious and self-starting Front-end Software Developer who is interested in helping us build and develop our early-stage browser-based live video product and become one of the first and core team members of our startup.

X     Tech stack: 
- AWS: DynamoDB + S3 Storage + Amazon Cognito + API Gateway + Lambda, NodeJS + CloudFront + ECS Fargate
- Video: OpenTok
- Multiple PSP integrations (e.g. Wirecard, Epoch, CCBill….)

X     Who we’re looking for:
- 3+ years of full-time engineering experience
- Experience working front-end web technologies like JavaScript or TypeScript and modern web frameworks
- Comfortable working on front-end applications (ideally React or Vue.js)
- Ideally experience with WebRTC or implementation of it like OpenTok or Twilio
- Experience building up teams and managing junior developers is a plus

X     Other qualities we’re looking for:
- Real passion for live video communication
- Excitement for working in a startup environment with a high level of ambiguity
- A customer service obsession and a willingness to do whatever it takes to satisfy customer needs

X     Where do we stand today:
- Young, motivated team with backgrounds in eSports, Online Dating, Betting
- Completed seed round (€2m pre-money valuation) from top angel investors (e.g. Fnatic, DOJO Madness, Boom Fantasy Sports) 
- MVP currently under development (JavaScript for frontend w/ Vue.js as a framework)

X     Timing:
- Start date: January 2020

 X     Contact:
If you are intrigued, reach out until 15.12.19 with relevant references
    ",€25k - €40k + Employee Stock Options (€2M Seed round valuation)
Back-End Developer (m/f/x),https://berlin.craigslist.org/sof/d/back-end-developer-f/7030578255.html?lang=en&cc=gb,1575270480000,(berlin),"
        
Interested in taking the next step in your career, being in an early-stage startup and working as one of the first team members on scaling a new venture up?

We are looking for a driven, ambitious and self-starting Back-end Software Developer who is interested in helping us build and develop our early-stage browser-based live video product and become one of the first and core team members of our startup.

X     Tech stack: 
- AWS: DynamoDB + S3 Storage + Amazon Cognito + API Gateway + Lambda, NodeJS + CloudFront + ECS Fargate
- Video: OpenTok
- Multiple PSP integrations (e.g. Wirecard, Epoch, CCBill….)

X     Who we’re looking for:
- 3+ years of full-time engineering experience
- Experience with backend technology stacks based on either Node.js or Python or Ruby
- Experience deploying/managing containerised solutions with Docker, ideally within the AWS ecosystem
- Experience with large-scale distributed storage and database systems
- Comfortable working on backend implementations
- Ideally experience with WebRTC or implementation of it like OpenTok or Twilio
- Experience building up teams and managing junior developers is a plus

X     Other qualities we’re looking for:
- Real passion for live video communication
- Excitement for working in a startup environment with a high level of ambiguity
- A customer service obsession and a willingness to do whatever it takes to satisfy customer needs

X     Where do we stand today:
- Young, motivated team with backgrounds in eSports, Online Dating, Betting
- Completed seed round from top angel investors (e.g. Fnatic, DOJO Madness, Boom Fantasy Sports) 
- MVP currently under development (Ruby for backend API w/ Ruby on Rails as a framework)

X     Timing:
Start date: January 2020

 X     Contact:
If you are intrigued, reach out until 15.12.19 with relevant references
    ",€25k - €40k + Employee Stock Options (€2M Seed round valuation)
AWS Engineer with Node.js or Java - ITONICS GmbH,https://berlin.craigslist.org/sof/d/aws-engineer-with-nodejs-or-java/7026670666.html?lang=en&cc=gb,1574652900000,"(berlin, de)","
        
As an AWS Engineer, you would be responsible for efficiently organizing and optimizing the development and deployment of micro-service based application deployed to we and mobile within AWS. This will include (though is not limited to) implementing continuous integration, continuous deployment and hardened of our fast growing cloud operations. This includes clustered virtualization, container development, and serverless micro-services. Development is done in Node and Java. Most DevOps use Node JS.

Please keep in mind that ITONICS is building multi-tier client-to-server applications with hundreds of thousands of users making performance and stability a crucial in development.

Experience and aptitude can vary, though enthusiasm is required. Anyone from a well season senior to a bright-eyed working student (Werkstudent/ Internship) are encouraged to apply. All of the listed topics can be learned.

All applicants must be fluent in English (German is optional).

Your experiences (or aspirations) should match our needs:

Knowledge in various distributions of Linux.
Amazon Web Services (or other PaaS): ECS, EC2, Route53, DynamoDB, Lambda, SNS, SQS, etc
Unit Testing and TDD in JUnit or Mocha. Mocks for rapid development.
Development: Git, Pipelines (or Jenkins), Docker, Gradle (or Maven), NPM, Webpack, Gulp
Alternative Data sources include MongoDB, Elasticsearch, Redis, Neo4j
Frontend (optional): Angular, TypeScript, Gulp, node, npm
What ITONICS can offer you

ITONICS is an established startup in enterprise software. We are not focussing on millions of customers loving a location-based dating app. We make market-leading companies in all industries even stronger by boosting their innovation function. This requires lots of solid development and even more magic. If you are the type of person having fun within extreme complexity and building in some magic in your code, then let’s talk!

At ITONICS you’ll be part of massive, industrial dawn of innovation through insight, collaboration, and foresight. Building large scale solutions to answer both tough high level and concrete questions about the future.

Join this young, dynamic and passionately motivated team to construct solutions for a better tomorrow using and creating some of today’s most cutting edge technologies, techniques, and paradigms.

Market leaders like Continental, Daimler, Edeka, Evonik, MAN, Siemens, Total or The World Economic Forum use our solutions to shape and build the future.

Welcoming both junior and experienced developers with various levels of savviness, ITONICS has a place for anyone that is devoted to technology and forward thinking. The ITONICS team is looking for eager and self-motivated individuals to drive solutions into the future.

If this sounds like a good match for you, then don’t hesitate to contact us right now. We will

Get back to you within 72 hours
Invite you for a first interview - on-site in Berlin or on Skype
Invite you on-site to introduce the team, the vision, Berlin, etc.
Get you on-boarded quickly
Take care of relocation to Berlin if required
Grab the chance to work in one of the most exciting areas in the tech industry in one of the most exciting cities on the globe - NOW! Please send us your résumé (cover letter, CV, transcripts) and state your availability (eg when you can start).

Please ONLY apply if you are available to undertake the position within the Berlin area. No recruiters. No agencies.

Buzzwords for German SEO

DevOps, NodeEntwickler, -Java-Entwickler, junges, internationales, hoch motiviertes Team, flache Hierarchien, offene Kommunikation, vielseitige Entwicklungsperspektiven, schönes Büro in Berlin Mitte (U-Bahnhof Spittelmarkt), Werkstudent, Praktikant, Vollzeit    ",Depends on experience.
Urgent Hiring of Python Developer,https://berlin.craigslist.org/sof/d/urgent-hiring-of-python-developer/7018439056.html?lang=en&cc=gb,1573532940000,(berlin),"
        
We need a python developer of part time scraping with basic knowledge designing of website.    ",15-20$/hr
PHP Developer Needed,https://berlin.craigslist.org/sof/d/php-developer-needed/7017744858.html?lang=en&cc=gb,1573447980000,(berlin),"
        
Strong knowledge of BigCommerce platform
Expertise in BigCommerce theme development and customization
Expert-level knowledge of BigCommerce Stencil framework (handlebars, front matters etc)
Comfortability working with Storefront APIs and Stencil util-APIs
An expertise in HTML5, CSS3 and JavaScript/ECMA Script 5/6
Expertise in JavaScript libraries (eg: jQuery)
A thorough understanding of cross-browser compatibility issues
Strong understanding of responsive web design techniques
Understanding of W3C web standards/semantics and accessibility guidelines
An ability to work on multiple projects and tasks at the same time
Great attention to detail and be highly organized
A positive and upbeat attitude with the ability to learn quickly
A minimum of 2 years of experience in BigCommerce website development
Experience with WordPress, Magento, and Shopify (preferred)
Experience with ReactJS/AngularJS (preferred)
Proficiency in PHP/MYSQL and AJAX (preferred)
Excellent written and spoken English
The availability to work 40 hours per week from 9:00 am to 6:00 pm PST
The ability to adapt to a diverse and multicultural environment
Passion to build a startup
Reliable transportation if working in-house
A reliable workstation with a fast computer, microphone and speakers, reliable internet and power if working remotely    ",15-25 $/hour
Online IT/ Microsoft Trainer für MS Teams Training,https://berlin.craigslist.org/sof/d/online-it-microsoft-trainer-fr-ms-teams/7014616245.html?lang=en&cc=gb,1573020660000,,"
        
Global LT (www.global-lt.com) sucht nach einem deutschsprachigen online IT/ Microsoft Trainer für MS Teams Training. 

Auftragsangaben:
Virtuelles Training – Der Trainer wird Webinare führen um die Vorgänge von MS Teams zu erklären.
Die Webinare werden idealerweise zwischen 11. November und 6. Dezember 2019 stattfinden.
4 Webinare @ 90min pro Tag (ca 70 Stunden insgesamt). 
Voraussetzung:
Bachelorabschluss oder vergleichbare Qualifikation (im IT Bereich bevorzugt).
Erfahrung mit Microsoft Teams.
Erfahrung von Erteilen von Webinaren oder online Training.
    ",verhandelbar
Full stack developer and Cofounder,https://berlin.craigslist.org/sof/d/full-stack-developer-and-cofounder/7008347807.html?lang=en&cc=gb,1572190920000,(berlin),"
        
ChipsTV is a web gaming platform that combines multiplayer games with video chatting for up to 10 gamers. 

We want to bring the feeling of couch and lan parties to peoples’ screens.

You can talk and play with friends in private and public rooms, see their reactions and have a great time. Our initial game will be the all-time favourite party game Werewolf (Mafia).

You will be working closely with CTO Ben and CEO Benedikt, in creating and growing an awesome platform.

Requirements 

You:
You have developed web applications with React and Redux

You have experience with Node.js or are willing to learn

You are flexible and believe in the idea

You are willing to join an exciting journey


About us:

We are early stage and you will therefore have a major impact on the future of the company


We have placed a lot of effort on code quality

We are currently based in a co-working space in the heart of Berlin (close to Checkpoint Charlie)

Free coffee
We play a lot of ping pong ;)
    ",Our compensation will be based on equity.
Senior Magento Developer,https://dresden.craigslist.org/sof/d/senior-magento-developer/7017747562.html?lang=en&cc=gb,1573446660000,,"
        
We’re looking for a highly skilled and motivated Senior Magento Backend Developer with at least 5 years of experience to become a core member of our team. We want you if you’re a self-motivated, detail-oriented, team-player with strong communication skills. You will be responsible for finding solutions to complex problems related to Magento sites, and providing updates for Magento software and Magento based sites.

Required Experience:
Magento 1 and 2 Experience
PHP
SOAP
Curl
Command Line SVN/GIT
Advanced MySQL
OOP
Zend
Telecommuting


Please send resume as an attachment.
    ",20-25 $/hour
C# MVC Developer,https://prague.craigslist.org/sof/d/mvc-developer/7024887281.html?lang=en&cc=gb,1574400360000,,"
        
This role will be to work on an existing MVC C# project written on .net framework with a SQL Server database.

Skill set required:

C#, ASP.Net MVC & ASP.Net Core, WebApi
HTML, CSS, JavaScript & Responsive Web Design
Software development in an agile/TDD environment.
SQL Server Database Development with Entity Framework 6
Version Control & Build servers e.g. Azure DevOps / CI / Git
Nice to have:
Knowledge of Angular 2+
Knowledge of Docker
Test automation using cypress or similar
Typescript
NodeJs
BDD
Kind of person for the role

Highly motivated self organising individual

A pragmatic individual that looks to bring solutions to problems even when self identified.    ",State your salary expectation
